Frame Number,Person Count,Activity Indicator
0,0,False
1,0,False
2,0,False
3,0,False
4,0,False
5,0,False
6,0,False
7,0,False
8,0,False
9,0,False
10,0,False
11,0,False
12,0,False
13,0,False
14,0,False
15,0,False
16,0,False
17,0,False
18,0,False
19,0,False
20,0,False
21,0,False
22,0,False
23,0,False
24,0,False
25,0,False
26,0,False
27,0,False
28,0,False
29,0,False
30,0,False
31,0,False
32,0,False
33,0,False
34,0,False
35,0,False
36,0,False
37,0,False
38,0,False
39,0,False
40,0,False
41,0,False
42,0,False
43,0,False
44,0,False
45,0,False
46,0,False
47,0,False
48,0,True
49,0,True
50,0,False
51,0,True
52,2,True
53,2,True
54,2,True
55,2,True
56,2,True
57,2,True
58,2,True
59,2,True
60,2,False
61,1,True
62,2,True
63,1,True
64,2,True
65,2,True
66,0,True
67,0,True
68,1,True
69,2,False
70,2,True
71,2,True
72,4,False
73,3,True
74,3,True
75,4,False
76,5,True
77,3,False
78,2,True
79,2,True
80,1,False
81,2,True
82,1,True
83,1,False
84,2,False
85,2,True
86,2,True
87,1,True
88,1,True
89,2,True
90,2,True
91,3,True
92,4,True
93,3,True
94,2,True
95,3,True
96,2,True
97,2,False
98,2,True
99,2,True
100,2,False
101,2,True
102,3,True
103,3,True
104,3,True
105,3,True
106,3,True
107,3,True
108,3,False
109,4,False
110,4,False
111,4,True
112,4,True
113,4,True
114,5,True
115,5,True
116,2,True
117,2,True
118,4,True
119,3,True
120,4,True
121,4,True
122,6,True
123,4,True
124,5,True
125,4,True
126,4,True
127,4,False
128,5,True
129,5,True
130,4,True
131,3,True
132,4,True
133,4,True
134,4,True
135,3,True
136,5,True
137,4,True
138,3,True
139,4,True
140,4,True
141,3,True
142,3,False
143,3,True
144,3,False
145,3,True
146,2,True
147,3,True
148,3,True
149,3,True
150,3,True
151,3,True
152,2,True
153,5,False
154,4,True
155,3,True
156,3,True
157,2,True
158,2,True
159,2,True
160,2,False
161,2,True
162,2,True
163,2,True
164,2,True
165,2,True
166,2,True
167,3,False
168,3,True
169,3,True
170,4,False
171,3,True
172,4,True
173,3,True
174,3,True
175,4,False
176,3,True
177,4,False
178,4,True
179,3,True
180,4,True
181,4,False
182,3,True
183,1,True
184,2,True
185,3,False
186,4,True
187,3,True
188,3,True
189,1,True
190,2,True
191,1,True
192,2,True
193,2,True
194,1,True
195,1,False
196,2,True
197,2,True
198,2,True
199,3,True
200,1,True
201,2,True
202,3,False
203,3,False
204,2,False
205,3,True
206,2,True
207,3,True
208,4,True
209,3,True
210,3,False
211,2,True
212,3,True
213,4,True
214,3,True
215,4,True
216,4,True
217,3,True
218,3,True
219,2,True
220,4,False
221,3,True
222,3,True
223,2,False
224,2,True
225,2,True
226,2,True
227,2,True
228,2,True
229,1,True
230,3,True
231,3,True
232,3,True
233,3,True
234,3,False
235,3,False
236,2,True
237,2,True
238,2,True
239,2,True
240,2,True
241,2,True
242,1,False
243,1,False
244,0,True
245,0,True
246,0,True
247,0,True
248,1,True
249,1,False
250,2,True
251,1,True
252,1,True
253,1,True
254,1,True
255,1,True
256,1,True
257,1,True
258,3,True
259,1,False
260,1,False
261,1,True
262,1,True
263,1,True
264,1,True
265,2,True
266,1,True
267,2,True
268,2,False
269,2,True
270,1,True
271,1,True
272,3,True
273,1,True
274,2,True
275,2,True
276,2,True
277,2,False
278,2,True
279,1,False
280,1,True
281,1,True
282,2,True
283,1,True
284,1,False
285,1,False
286,1,False
287,1,True
288,1,True
289,1,True
290,1,True
291,1,True
292,1,True
293,1,True
294,1,True
295,1,True
296,1,True
297,0,True
298,0,False
299,0,True
300,1,False
301,1,True
302,1,True
303,2,True
304,1,True
305,2,True
306,1,True
307,1,True
308,1,True
309,2,False
310,2,True
311,1,False
312,1,False
313,1,True
314,1,True
315,1,True
316,2,True
317,2,True
318,2,False
319,1,True
320,2,True
321,2,True
322,2,True
323,2,False
324,2,True
325,2,True
326,2,True
327,2,True
328,1,True
329,1,False
330,1,True
331,1,True
332,1,True
333,1,True
334,1,False
335,1,True
336,1,False
337,1,False
338,1,True
339,1,True
340,1,True
341,1,True
342,1,True
343,1,False
344,0,True
345,1,False
346,1,True
347,0,True
348,0,True
349,0,True
350,0,True
351,0,True
352,0,True
353,1,True
354,2,False
355,2,True
356,3,True
357,2,True
358,1,True
359,1,True
360,1,True
361,0,False
362,0,True
363,1,True
364,2,True
365,1,True
366,0,True
367,2,True
368,1,False
369,1,True
370,1,True
371,1,True
372,1,True
373,1,True
374,1,True
375,2,True
376,2,True
377,1,True
378,1,True
379,1,True
380,1,True
381,2,True
382,2,False
383,1,True
384,1,True
385,1,True
386,1,False
387,1,True
388,1,True
389,1,True
390,1,True
391,1,True
392,2,True
393,2,True
394,1,True
395,1,True
396,2,True
397,1,True
398,2,True
399,2,True
400,2,True
401,2,True
402,1,True
403,1,True
404,4,True
405,4,True
406,4,True
407,4,False
408,3,True
409,4,True
410,5,True
411,5,False
412,5,False
413,4,True
414,3,True
415,4,True
416,3,True
417,4,True
418,3,True
419,3,True
420,4,True
421,4,True
422,4,True
423,3,True
424,4,True
425,4,True
426,4,True
427,5,True
428,4,True
429,4,True
430,2,True
431,3,True
432,3,False
433,3,False
434,3,True
435,3,False
436,3,True
437,3,True
438,3,True
439,3,True
440,3,True
441,3,True
442,3,True
443,3,True
444,3,True
